Generation	Ne_genomatric
1	165.855053505133
2	165.855053505133
3	165.855053505133
4	165.855053505133
5	175.879198261498
6	179.211778597982
7	181.159976338264
8	182.84223454415
9	185.557655112328
10	187.61593729303
11	189.06028033553
12	189.457435303813
13	188.36885586114
14	186.90308513178
15	183.502651749682
16	179.062020745118
17	172.958650605984
18	165.643750300369
19	156.643409860846
20	148.112835568063
21	136.54214915474
22	125.690674989345
23	114.28036346235
24	105.114982842513
25	97.7283804912057
26	89.1395070737667
27	83.0361558863251
28	78.817766530118
29	74.6370189237035
30	71.3082851591735
31	69.2544611862899
32	67.3729365883705
33	66.3715532734555
34	65.0454345531423
35	64.4612848044536
36	63.6640930736893
37	63.2084558616979
38	63.1434616850395
39	63.1693205184062
40	63.4001027799697
41	63.6454044380259
42	63.8285047250371
43	64.4236011581698
44	64.8638439006617
45	66.1598665880798
46	68.2122484629388
47	69.5695152544964
48	70.8694286430284
49	74.721898675421
50	82.9789149703368
51	98.3541756314823
52	121.56225599596
53	153.289545847433
54	217.564895967315
55	302.384988418792
56	402.724758494055
57	494.673370506664
58	597.944241446297
59	692.375067633095
60	771.821391692621
61	838.440946903375
62	902.201972720723
63	974.136396771962
64	1037.03708529818
65	1133.09679252981
66	1213.79199166341
67	1294.49802665481
68	1420.24875371157
69	1506.57779996012
70	1579.12765714563
71	1667.29177952584
72	1711.97921262503
73	1749.2436561026
74	1767.00162472934
75	1797.37366252739
76	1806.64573335158
77	1817.78920255353
78	1831.81594041783
79	1836.78226512585
80	1840.22645482136
81	1842.26119674237
82	1851.12588898284
83	1851.36836217582
84	1856.15322947236
85	1860.61541898259
86	1866.5702877083
87	1873.33558132221
88	1872.33138229064
89	1873.86709907737
90	1871.76432785251
91	1878.86717832568
92	1878.12504756754
93	1884.71154361343
94	1892.28677742248
95	1900.54926007777
96	1908.14749076848
97	1904.41106542405
98	1901.14096501605
99	1904.50822111478
100	1908.88509040159
101	1914.32173378801
102	1912.99173059873
103	1913.01655429744
104	1925.1523243653
105	1929.96247863415
106	1935.036831842
107	1942.3408146691
108	1950.05452426108
109	1955.30234668837
110	1968.24464693643
111	1974.66634627935
112	1978.23575660667
113	1978.4689477432
114	1980.33699677231
115	1983.98170755356
116	1985.92049485109
117	1985.36810575084
118	1991.68120719804
119	1998.79566781511
120	2000.70551532312
121	2008.27386659814
122	2013.42555402072
123	2014.8830133901
124	2007.6408456334
125	2008.9580932918
126	2013.48791677892
127	2018.39615746035
128	2024.19040769994
129	2025.13716796466
130	2030.78760603255
131	2028.62194427667
132	2034.18680839017
133	2036.39829384984
134	2041.83847115144
135	2043.88622094956
136	2045.37837979031
137	2049.82214872371
138	2053.9680276564
139	2055.09162631676
140	2052.37115537732
141	2047.13323926127
142	2042.8298273511
143	2037.14108539595
144	2029.95657968376
145	2027.54928117887
146	2022.12037200687
147	2015.27508270195
148	2019.31637359432
149	2015.33945482033
150	2012.71684756864
151	2001.44618755008
152	1991.06668740385
153	1990.9973929908
154	1992.21789744359
155	1990.73013051332
156	1986.50200659353
157	1985.73658002646
158	1982.61096812613
159	1977.46317813913
160	1970.48037686429
161	1967.95622090163
162	1965.82692731798
163	1959.50816511541
164	1956.79880459859
165	1952.07753111282
166	1949.54506976488
167	1947.47675927117
168	1943.47197905435
169	1936.87248033167
170	1933.65331260844
171	1933.90500964565
172	1931.54780785493
173	1931.39454079471
174	1934.15916255383
175	1941.60122808312
176	1947.1455102027
177	1943.56092042775
178	1944.27498149989
179	1938.94913181361
180	1935.10305332586
181	1935.01006962443
182	1932.58240177727
183	1932.03255502048
184	1937.59750926568
185	1934.94672323419
186	1930.53807844917
187	1927.53369249985
188	1928.76095243521
189	1926.71217126204
190	1926.04556822883
191	1925.85935921757
192	1916.75473311365
193	1911.57226492162
194	1908.07533062191
195	1907.85788636424
196	1898.35833453515
197	1892.36555986571
198	1888.05540215857
199	1884.95369671505
200	1881.09709520757
201	1877.74161530058
202	1871.8014987315
203	1868.81525864991
204	1863.41409093554
205	1854.46244661094
206	1852.62208625305
207	1848.33571832736
208	1850.22539173673
209	1848.24008498844
210	1845.7367461354
211	1846.58652839357
212	1842.90585596651
213	1838.09924655944
214	1833.62744333591
215	1831.53692437072
216	1827.92188788895
217	1822.5947097375
218	1821.92959650298
219	1816.68457714465
220	1809.12278524902
221	1800.88998248922
222	1794.78704349652
223	1791.57788117755
224	1784.42198877239
225	1780.83435395857
226	1773.53968224283
227	1766.50338295028
228	1760.25470171181
229	1754.20607261766
230	1749.39843818176
231	1744.44984184947
232	1740.27031532137
233	1737.06161576043
234	1728.84965249619
235	1725.30924663637
236	1715.95965439968
237	1708.18686086086
238	1701.63844295134
239	1698.24077525329
240	1693.78017631172
241	1687.68487949041
242	1683.03861379126
243	1680.0176565419
244	1677.66857126404
245	1675.56393369852
246	1672.32838754776
247	1668.86655607018
248	1665.66955806776
249	1664.56720473767
250	1660.96306766497
251	1657.14656902523
252	1654.79869052397
253	1650.19313733073
254	1648.08334539816
255	1645.74472741307
256	1641.48180200242
257	1640.0251783983
258	1637.60610414472
259	1637.66867256152
260	1635.53325070469
261	1632.75225806627
262	1628.15531942551
263	1619.66966560236
264	1604.18098167809
265	1592.48734660672
266	1580.90268076201
267	1561.13715335854
268	1539.50328957872
269	1524.42427372505
270	1515.48303116264
271	1501.71144929435
272	1486.53574894089
273	1471.85061254438
274	1458.48964667418
275	1434.27738802164
276	1416.10110507674
277	1398.04430075256
278	1367.96441593978
279	1347.63641645189
280	1328.08524466335
281	1312.81058030139
282	1288.31784577666
283	1265.60212502164
284	1257.28269121554
285	1240.37959272455
286	1224.58956979386
287	1218.94168711639
288	1208.21094579412
289	1199.68534232945
290	1189.56819839695
291	1182.32212610706
292	1175.06118509284
293	1167.4973667807
294	1160.70350456462
295	1154.71998587989
296	1145.67799918064
297	1142.10162823243
298	1137.98972881137
299	1130.55834045751
300	1124.00201190661
301	1120.32619928238
302	1112.45913587918
303	1106.85242081472
304	1100.38525452405
305	1096.18505004659
306	1089.81872488268
307	1084.4975435364
308	1069.5934248422
309	1057.4526300272
310	1047.59377389356
311	1040.55119777283
312	1034.07792879098
313	1026.68119047239
314	1019.66887533299
315	1013.42770415216
316	1010.89054671893
317	1009.78024344949
318	1009.76448561447
319	1009.20620870129
320	1008.5355090197
321	1008.13318811963
322	1005.3295836585
323	1005.63600407391
324	1006.03929419066
325	1005.75999032619
326	1004.05842789343
327	1002.21205269107
328	997.919554813194
329	995.786666461282
330	993.16696195245
331	989.185676859559
332	985.420068011357
333	981.321037199054
334	979.458903663349
335	977.911040827259
336	977.946496337624
337	977.779012299218
338	975.415608573849
339	974.459938596502
340	973.33789594442
341	972.985992224107
342	973.702054466491
343	973.647833894113
344	974.108254179629
345	974.537689674494
346	973.063565246061
347	971.770615690521
348	971.442624675872
349	970.556527112572
350	970.49296203079
351	970.12531564329
352	970.508901690475
353	970.080377975394
354	970.501712444244
355	970.792614433865
356	970.299944524677
357	970.139355757852
358	970.482536446766
359	970.592164053815
360	971.191327103605
361	971.430541425348
362	971.869135200412
363	971.685795152589
364	971.65054111525
365	970.093367110371
366	969.357610217081
367	967.974134013315
368	967.163828089194
369	965.983688717601
370	965.725922795504
371	965.549048451118
372	965.471577148926
373	964.679789016592
374	962.454156581416
375	960.753779594061
376	959.720431822819
377	958.518598481765
378	956.734482444589
379	955.988866640525
380	954.631093259023
381	954.017189503426
382	954.042194385041
383	954.601021712839
384	955.464297833666
385	955.552624131939
386	955.469002976862
387	955.178262871675
388	955.589301859301
389	955.355296029942
390	955.117617835186
391	955.183397252794
392	954.379802978155
393	954.676201770471
394	954.921078218567
395	955.223718403387
396	955.19106022589
397	955.081918031129
398	953.965299520268
399	953.972894007326
400	954.385406302305
401	954.239819972635
402	954.26224787278
403	954.184566974934
404	954.018508892965
405	954.972017356825
406	955.595204114229
407	955.801488729359
408	956.7579074961
409	957.51657724404
410	957.889251868647
411	958.329559326941
412	957.652123032337
413	958.538025575195
414	958.702460814
415	957.949931451898
416	957.762810496442
417	956.530318359744
418	955.732176310291
419	955.344409702992
420	954.413400793569
421	954.124275470668
422	952.641407038838
423	951.693524709014
424	950.43938522084
425	950.663713757805
426	949.379264685727
427	947.444621588239
428	946.49200084895
429	944.996393131443
430	945.103226289575
431	944.016356370257
432	943.273435759252
433	942.936206418186
434	942.812472872563
435	942.366271469349
436	941.928308142084
437	942.179494846604
438	942.157117304578
439	942.082162069194
440	942.84839408262
441	943.593398728366
442	944.294594912855
443	944.539565992113
444	944.659722669795
445	945.087712474164
446	945.795430822408
447	945.916818044823
448	945.821483513981
449	944.920289539574
450	945.043133911194
451	944.599582116894
452	944.574686447929
453	944.481272714795
454	944.080258853204
455	943.495997742569
456	942.939687632507
457	942.696229283737
458	942.398786543684
459	943.079274839633
